robbert,coefficient,abs_imp
dim_104,0.03106338551157683,0.03106338551157683
dim_391,-0.029481357862083356,0.029481357862083356
dim_532,0.025742030640766998,0.025742030640766998
dim_128,0.0257230943064048,0.0257230943064048
dim_515,-0.02461698199543671,0.02461698199543671
dim_197,0.022742637378539994,0.022742637378539994
dim_360,-0.02246029093311349,0.02246029093311349
dim_453,-0.020582836740313807,0.020582836740313807
dim_304,0.019860201995324477,0.019860201995324477
dim_120,0.017953761535871714,0.017953761535871714
dim_647,-0.017788692542760255,0.017788692542760255
dim_666,-0.0139685238537256,0.0139685238537256
dim_96,0.013250330277942193,0.013250330277942193
dim_579,-0.01285948874032103,0.01285948874032103
dim_650,0.01139464945205986,0.01139464945205986
dim_727,0.011049079276790552,0.011049079276790552
dim_359,-0.011014015943866008,0.011014015943866008
dim_179,0.009819258238757081,0.009819258238757081
dim_626,-0.00935856384733931,0.00935856384733931
dim_161,-0.0072228431526667,0.0072228431526667
dim_553,-0.0071975501748318006,0.0071975501748318006
dim_220,0.007061094035937046,0.007061094035937046
dim_613,-0.006586563669984645,0.006586563669984645
dim_609,-0.006581114385794105,0.006581114385794105
dim_442,-0.006371340047254,0.006371340047254
dim_410,0.005814558322865666,0.005814558322865666
dim_35,-0.005549650550361659,0.005549650550361659
dim_500,-0.0055158201071734,0.0055158201071734
dim_101,0.004993813530090535,0.004993813530090535
dim_588,-0.004974212763422562,0.004974212763422562
dim_295,0.00424617153144424,0.00424617153144424
dim_494,0.0039261347378954994,0.0039261347378954994
dim_444,0.0029068925888129705,0.0029068925888129705
dim_439,0.00290211589681882,0.00290211589681882
dim_740,-0.0027909527521612506,0.0027909527521612506
dim_16,-0.0027075682832545843,0.0027075682832545843
dim_547,-0.0026718049090714868,0.0026718049090714868
dim_590,-0.00250974111239561,0.00250974111239561
dim_27,0.0018199051042207244,0.0018199051042207244
dim_302,-0.0013496720089678648,0.0013496720089678648
dim_685,0.001241517811883638,0.001241517811883638
dim_47,0.0008650984498622852,0.0008650984498622852
dim_286,0.00018145698548978389,0.00018145698548978389
dim_519,-8.295660025326685e-05,8.295660025326685e-05
