feature,coefficient,abs_imp
dim_579,0.0427806024687835,0.0427806024687835
dim_136,0.04266123219940782,0.04266123219940782
dim_436,-0.0424148489135257,0.0424148489135257
dim_27,-0.04133478263253225,0.04133478263253225
dim_494,-0.03639594945142704,0.03639594945142704
dim_525,0.030090522730337667,0.030090522730337667
dim_125,0.028358830202666354,0.028358830202666354
dim_305,-0.024040075781910964,0.024040075781910964
dim_650,-0.02206300999167171,0.02206300999167171
dim_322,0.021472146905498327,0.021472146905498327
dim_691,-0.02100628621309157,0.02100628621309157
dim_16,0.020399738749065973,0.020399738749065973
dim_615,-0.019552102596434317,0.019552102596434317
dim_697,0.018855967935623417,0.018855967935623417
dim_606,0.018833539652211524,0.018833539652211524
dim_234,0.01837386303961506,0.01837386303961506
dim_286,-0.018230770650691386,0.018230770650691386
dim_590,0.018015426816643833,0.018015426816643833
dim_309,0.017259987210348483,0.017259987210348483
dim_391,0.017150987326337404,0.017150987326337404
dim_240,-0.014517762308137441,0.014517762308137441
dim_197,-0.013871491129903721,0.013871491129903721
dim_20,0.012283441272880355,0.012283441272880355
dim_498,-0.012236533636923458,0.012236533636923458
dim_654,0.010749481427417686,0.010749481427417686
dim_444,-0.009886190728900929,0.009886190728900929
dim_562,0.009642323217913707,0.009642323217913707
dim_653,0.009512762303334556,0.009512762303334556
dim_275,0.008922064835300874,0.008922064835300874
dim_502,0.00767672706518364,0.00767672706518364
dim_644,-0.006960174292921368,0.006960174292921368
dim_583,-0.006684589644486874,0.006684589644486874
dim_453,0.006326368543157513,0.006326368543157513
dim_326,-0.006304751615999275,0.006304751615999275
dim_104,-0.005590786873201837,0.005590786873201837
dim_649,0.005550002256805376,0.005550002256805376
dim_24,0.005257218425538131,0.005257218425538131
dim_452,-0.004518479841300598,0.004518479841300598
dim_249,0.004270605484471662,0.004270605484471662
dim_216,-0.004156976764553983,0.004156976764553983
dim_319,0.0039181664942343755,0.0039181664942343755
dim_343,-0.0033448677036279468,0.0033448677036279468
dim_256,0.002423592471159251,0.002423592471159251
dim_510,0.0022140554772021237,0.0022140554772021237
dim_111,-0.0017285047209181145,0.0017285047209181145
dim_663,0.0015756475200538597,0.0015756475200538597
dim_95,-0.001294201954380446,0.001294201954380446
dim_720,-0.0007440465875495444,0.0007440465875495444
dim_570,-0.0006180767891107958,0.0006180767891107958
