feature,coefficient,abs_imp
dim_90,-0.04627738838771641,0.04627738838771641
dim_664,0.04035539926672708,0.04035539926672708
dim_579,0.03933270732798756,0.03933270732798756
dim_452,-0.03881755325540094,0.03881755325540094
dim_614,-0.03392888624010773,0.03392888624010773
dim_515,0.022943390348870177,0.022943390348870177
dim_681,-0.022011838512402713,0.022011838512402713
dim_104,-0.021261051442329114,0.021261051442329114
dim_167,0.021071017979887127,0.021071017979887127
dim_654,0.020959149880448464,0.020959149880448464
dim_274,-0.020664702130223672,0.020664702130223672
dim_339,-0.020577399392923513,0.020577399392923513
dim_653,0.019071806476433324,0.019071806476433324
dim_311,-0.01858888981329398,0.01858888981329398
dim_256,0.018331931131711734,0.018331931131711734
dim_360,0.01679011533232917,0.01679011533232917
dim_613,0.016106869106940393,0.016106869106940393
dim_337,-0.015903040846629947,0.015903040846629947
dim_434,0.015020240324248913,0.015020240324248913
dim_184,0.014862803449687052,0.014862803449687052
dim_720,-0.014857288764813448,0.014857288764813448
dim_525,0.014644747754473402,0.014644747754473402
dim_764,0.01430242993715744,0.01430242993715744
dim_549,0.014213416087450975,0.014213416087450975
dim_685,-0.01361504155078655,0.01361504155078655
dim_750,0.013585483075592285,0.013585483075592285
dim_285,0.013246783699001403,0.013246783699001403
dim_286,-0.01301110383167646,0.01301110383167646
dim_597,-0.012790516759377736,0.012790516759377736
dim_388,-0.012165320974756465,0.012165320974756465
dim_523,0.0116699988391836,0.0116699988391836
dim_225,-0.009971423312578038,0.009971423312578038
dim_377,0.009969717365396265,0.009969717365396265
dim_464,-0.009651402280619847,0.009651402280619847
dim_188,-0.008809406800564646,0.008809406800564646
dim_676,-0.008700402300100614,0.008700402300100614
dim_754,-0.00819604401259304,0.00819604401259304
dim_48,-0.008096617932356779,0.008096617932356779
dim_543,0.007975280792093368,0.007975280792093368
dim_644,-0.007935918869268331,0.007935918869268331
dim_481,0.007873652696796483,0.007873652696796483
dim_92,0.007605333496706998,0.007605333496706998
dim_649,0.006900999047023936,0.006900999047023936
dim_316,-0.006798062175687228,0.006798062175687228
dim_257,0.006722632384365006,0.006722632384365006
dim_25,0.006361782635504733,0.006361782635504733
dim_567,-0.006305062265923925,0.006305062265923925
dim_355,-0.0062959309410519386,0.0062959309410519386
dim_129,0.005630707260304583,0.005630707260304583
dim_737,-0.005000634771353907,0.005000634771353907
dim_680,-0.004945066880997204,0.004945066880997204
dim_314,-0.004607225750224098,0.004607225750224098
dim_31,0.004381127959226336,0.004381127959226336
dim_569,0.004356387969336644,0.004356387969336644
dim_500,0.0032224608087451333,0.0032224608087451333
dim_101,-0.0030882197548088683,0.0030882197548088683
dim_761,-0.003038823618283518,0.003038823618283518
dim_300,0.002528223972607869,0.002528223972607869
dim_544,0.0025255239972499038,0.0025255239972499038
dim_244,-0.0021843706363840333,0.0021843706363840333
dim_251,-0.0021020407956618254,0.0021020407956618254
dim_467,0.001789956216351756,0.001789956216351756
dim_61,0.001680930625169362,0.001680930625169362
dim_175,0.001526001537960841,0.001526001537960841
dim_200,0.0014544061578062061,0.0014544061578062061
dim_424,0.0013642565154000294,0.0013642565154000294
dim_166,-0.0013399452843009868,0.0013399452843009868
dim_538,-0.0004136919619990119,0.0004136919619990119
dim_758,-0.00020985208442233236,0.00020985208442233236
dim_375,-0.0001198515247263467,0.0001198515247263467
